Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1-1-20,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,19,79,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
2-1-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
3-1-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
4-1-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
5-1-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
6-1-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
7-1-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
8-1-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
9-1-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-1-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-1-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-1-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-13-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-14-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-15-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,17,71,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-16-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-17-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-18-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-19-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-20-2020,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-21-2020,AQS,481130069,3,0.7,ppm,8,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-22-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-23-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-24-2020,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-25-2020,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-26-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-27-2020,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-28-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-29-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-30-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-31-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
1-2-20,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
2-2-20,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
3-2-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
4-2-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
5-2-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
6-2-20,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
7-2-20,AQS,481130069,3,0.6,ppm,7,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
8-2-20,AQS,481130069,3,0.8,ppm,9,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
9-2-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-2-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-2-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-2-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,18,75,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-13-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-14-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-15-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-16-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-17-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-18-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-19-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-20-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,16,67,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-21-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-22-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-23-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-24-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-25-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-26-2020,AQS,481130069,3,0.1,ppm,1,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-27-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,19,79,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-28-2020,AQS,481130069,3,0.7,ppm,8,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-29-2020,AQS,481130069,3,0.9,ppm,10,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
1-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
2-3-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
3-3-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,18,75,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
4-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
5-3-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
6-3-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
7-3-20,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
8-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
9-3-20,AQS,481130069,3,0.1,ppm,1,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,18,75,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-3-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-13-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-14-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-15-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-16-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-17-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-18-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-19-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-20-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-21-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-22-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-23-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-24-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-25-2020,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-26-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-27-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-28-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-29-2020,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-30-2020,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-31-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
1-4-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
2-4-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
3-4-20,AQS,481130069,3,0.1,ppm,1,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
4-4-20,AQS,481130069,3,0.1,ppm,1,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
5-4-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
6-4-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
7-4-20,AQS,481130069,3,0.4,ppm,5,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
8-4-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,18,75,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
9-4-20,AQS,481130069,3,0.3,ppm,3,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-4-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-4-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-4-20,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-13-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-14-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-15-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-16-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-17-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-18-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-19-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-20-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-21-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-22-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,16,67,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-23-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-24-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-25-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-26-2020,AQS,481130069,3,0.5,ppm,6,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-27-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-28-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-29-2020,AQS,481130069,3,0.2,ppm,2,Dallas Hinton,24,100,42101,Carbon monoxide,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
