Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-20,AQS,481130069,1,13.9,ug/m3 LC,55,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-01-20,AQS,481130069,1,6,ug/m3 LC,25,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
07-01-20,AQS,481130069,1,5.1,ug/m3 LC,21,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-01-20,AQS,481130069,1,5.6,ug/m3 LC,23,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-13-2020,AQS,481130069,1,8.5,ug/m3 LC,35,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-16-2020,AQS,481130069,1,8.6,ug/m3 LC,36,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-19-2020,AQS,481130069,1,3.2,ug/m3 LC,13,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-22-2020,AQS,481130069,1,6.3,ug/m3 LC,26,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-25-2020,AQS,481130069,1,4.4,ug/m3 LC,18,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-28-2020,AQS,481130069,1,6,ug/m3 LC,25,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-31-2020,AQS,481130069,1,4.1,ug/m3 LC,17,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-02-20,AQS,481130069,1,6,ug/m3 LC,25,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-02-20,AQS,481130069,1,5.1,ug/m3 LC,21,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
09-02-20,AQS,481130069,1,5.9,ug/m3 LC,25,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-02-20,AQS,481130069,1,2.6,ug/m3 LC,11,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-15-2020,AQS,481130069,1,6.4,ug/m3 LC,27,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-18-2020,AQS,481130069,1,5.8,ug/m3 LC,24,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-21-2020,AQS,481130069,1,5.1,ug/m3 LC,21,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-24-2020,AQS,481130069,1,2.9,ug/m3 LC,12,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-27-2020,AQS,481130069,1,4.6,ug/m3 LC,19,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
01-03-20,AQS,481130069,1,5.2,ug/m3 LC,22,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-03-20,AQS,481130069,1,7.9,ug/m3 LC,33,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
07-03-20,AQS,481130069,1,6.8,ug/m3 LC,28,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
10-03-20,AQS,481130069,1,5.4,ug/m3 LC,23,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-13-2020,AQS,481130069,1,7.6,ug/m3 LC,32,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-16-2020,AQS,481130069,1,8.2,ug/m3 LC,34,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-19-2020,AQS,481130069,1,9.7,ug/m3 LC,40,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-22-2020,AQS,481130069,1,5.6,ug/m3 LC,23,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-25-2020,AQS,481130069,1,10,ug/m3 LC,42,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-28-2020,AQS,481130069,1,7.6,ug/m3 LC,32,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-31-2020,AQS,481130069,1,2.4,ug/m3 LC,10,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-04-20,AQS,481130069,1,3.9,ug/m3 LC,16,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-04-20,AQS,481130069,1,13.1,ug/m3 LC,53,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
09-04-20,AQS,481130069,1,10.4,ug/m3 LC,43,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-15-2020,AQS,481130069,1,5,ug/m3 LC,21,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-18-2020,AQS,481130069,1,5.8,ug/m3 LC,24,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-21-2020,AQS,481130069,1,10.5,ug/m3 LC,44,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-24-2020,AQS,481130069,1,5.7,ug/m3 LC,24,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-27-2020,AQS,481130069,1,7.3,ug/m3 LC,30,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
04-30-2020,AQS,481130069,1,6.1,ug/m3 LC,25,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
03-05-20,AQS,481130069,1,6.9,ug/m3 LC,29,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
09-05-20,AQS,481130069,1,5,ug/m3 LC,21,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
12-05-20,AQS,481130069,1,7.6,ug/m3 LC,32,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-15-2020,AQS,481130069,1,6.8,ug/m3 LC,28,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-18-2020,AQS,481130069,1,8.8,ug/m3 LC,37,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-21-2020,AQS,481130069,1,17.6,ug/m3 LC,63,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-24-2020,AQS,481130069,1,5.5,ug/m3 LC,23,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-06-20,AQS,481130069,1,13.5,ug/m3 LC,54,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
08-06-20,AQS,481130069,1,9.7,ug/m3 LC,40,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-06-20,AQS,481130069,1,6.2,ug/m3 LC,26,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-14-2020,AQS,481130069,1,9.5,ug/m3 LC,40,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-17-2020,AQS,481130069,1,9.6,ug/m3 LC,40,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-23-2020,AQS,481130069,1,4.4,ug/m3 LC,18,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-26-2020,AQS,481130069,1,31.5,ug/m3 LC,92,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
06-29-2020,AQS,481130069,1,14.7,ug/m3 LC,56,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
02-07-20,AQS,481130069,1,19.9,ug/m3 LC,67,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
05-07-20,AQS,481130069,1,22.5,ug/m3 LC,73,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
08-07-20,AQS,481130069,1,15.9,ug/m3 LC,59,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
11-07-20,AQS,481130069,1,9.3,ug/m3 LC,39,Dallas Hinton,1,100,88101,PM2.5 - Local Conditions,19100,"Dallas-Fort Worth-Arlington, TX",48,Texas,113,Dallas,32.820061,-96.860117
