time, mean_MOD11C3_006_LST_Day_CMG
2000-02-01,275.196259
2000-03-01,277.33197
2000-04-01,284.499451
2000-05-01,284.872314
2000-06-01,290.712799
2000-07-01,292.881897
2000-08-01,292.25293
2000-09-01,290.221405
2000-10-01,284.457153
2000-11-01,276.29245
2000-12-01,274.721161
2001-01-01,275.690308
2001-02-01,276.080719
2001-03-01,280.004944
2001-04-01,280.209625
2001-05-01,286.594818
2001-06-01,286.219696
2001-07-01,292.178711
2001-08-01,293.926025
2001-09-01,291.31839
2001-10-01,283.018799
2001-11-01,277.21463
2001-12-01,273.317871
2002-01-01,271.625885
2002-02-01,275.507751
2002-03-01,275.593323
2002-04-01,283.584686
2002-05-01,284.308228
2002-06-01,291.627991
2002-07-01,293.839264
2002-08-01,294.167694
2002-09-01,290.445007
2002-10-01,285.208832
2002-11-01,279.835144
2002-12-01,274.126923
2003-01-01,277.406525
2003-02-01,277.078247
2003-03-01,276.552673
2003-04-01,280.532532
2003-05-01,284.879547
2003-06-01,293.703247
2003-07-01,295.941528
2003-08-01,294.887756
2003-09-01,292.761414
2003-10-01,284.656708
2003-11-01,276.168915
2003-12-01,272.579468
2004-01-01,270.362518
2004-02-01,276.90564
2004-03-01,279.918823
2004-04-01,286.109009
2004-05-01,286.81311
2004-06-01,293.833191
2004-07-01,295.769806
2004-08-01,294.351074
2004-09-01,287.922729
2004-10-01,284.715698
2004-11-01,277.278961
2004-12-01,275.426361
2005-01-01,272.792297
2005-02-01,278.560944
2005-03-01,281.733673
2005-04-01,282.492218
2005-05-01,288.341034
2005-06-01,288.685577
2005-07-01,294.342041
2005-08-01,294.663086
2005-09-01,288.86203
2005-10-01,282.823517
2005-11-01,277.615051
2005-12-01,274.702026
2006-01-01,272.188965
2006-02-01,275.294128
2006-03-01,276.283508
2006-04-01,284.042084
2006-05-01,286.72876
2006-06-01,292.715118
2006-07-01,295.421478
2006-08-01,294.443573
2006-09-01,292.964508
2006-10-01,284.789062
2006-11-01,272.280182
2006-12-01,272.028839
2007-01-01,273.390228
2007-02-01,275.210144
2007-03-01,278.287292
2007-04-01,281.019928
2007-05-01,287.71759
2007-06-01,288.251984
2007-07-01,294.22757
2007-08-01,292.642548
2007-09-01,289.186218
2007-10-01,281.774292
2007-11-01,277.062408
2007-12-01,271.111542
2008-01-01,271.981567
2008-02-01,276.169495
2008-03-01,275.701538
2008-04-01,279.00769
2008-05-01,286.298889
2008-06-01,290.903107
2008-07-01,293.829681
2008-08-01,292.309113
2008-09-01,291.176788
2008-10-01,282.145569
2008-11-01,278.497223
2008-12-01,270.594604
2009-01-01,275.693481
2009-02-01,275.432953
2009-03-01,274.829437
2009-04-01,282.678497
2009-05-01,287.135132
2009-06-01,291.766998
2009-07-01,297.088562
2009-08-01,293.891479
2009-09-01,290.721191
2009-10-01,283.228027
2009-11-01,276.167816
2009-12-01,271.952362
2010-01-01,273.158997
2010-02-01,278.317566
2010-03-01,279.052704
2010-04-01,279.13913
2010-05-01,283.443268
2010-06-01,286.62796
2010-07-01,294.46991
2010-08-01,294.431213
2010-09-01,288.674103
2010-10-01,284.428497
2010-11-01,277.11026
2010-12-01,272.946167
2011-01-01,272.276428
2011-02-01,272.718933
2011-03-01,274.226013
2011-04-01,278.859497
2011-05-01,283.291138
2011-06-01,287.57193
2011-07-01,291.53952
2011-08-01,292.682556
2011-09-01,293.008972
2011-10-01,282.452484
2011-11-01,275.198944
2011-12-01,274.175049
2012-01-01,272.241516
2012-02-01,274.942413
2012-03-01,275.268402
2012-04-01,281.212189
2012-05-01,286.427582
2012-06-01,285.871826
2012-07-01,292.465332
2012-08-01,294.535583
